PRECIO,ZONA,TERRENO,CONSTRUCCION,RECAMARAS,BAÑOS,TV/ESTUDIO,CTO. SERVICIO,GARAGE,JARDIN,TELEFONO,,,,
"270,000",1,58,66,1,1,0,0,0,0,1,,,,
"280,000",1,60,87,1,1,0,1,0,0,1,,,,
"285,000",1,68,87,2,1,0,0,0,0,0,,,,
"340,000",1,70,94,2,1,0,0,0,1,1,,,,
"373,824",1,84,100,2,1,0,0,1,0,0,,,,
"400,000",1,84,106,3,1,0,0,1,0,1,,,,
"430,000",1,90,135,3,1,0,0,1,0,0,,,,
"450,000",1,100,140,3,1.5,0,0,1,1,1,,,,
"453,000",1,103,145,3,1.5,2,1,1,1,0,,,,
"480,000",2,116,146,3,1.5,1,1,1,0,0,,,,
"500,000",2,120,156,3,1.5,0,1,1,0,1,,,,
"500,000",2,120,165,3,1.5,1,0,1,0,1,,,,
"520,000",2,121,170,3,1.5,0,0,1,0,0,,,,
"520,000",2,122,170,3,2,0,0,1,0,0,,,,
"540,000",2,126,179,3,2,1,1,1,0,1,,,,
"600,000",2,150,194,3,2,0,0,1,0,1,,,,
"600,000",2,147,182,3,2,1,1,1,0,1,,,,
"600,000",2,148,190,3,2,0,0,1,0,1,,,,
"600,000",2,130,180,3,2,1,0,1,0,1,,,,
"600,000",2,147,181,3,2,1,1,1,2,0,,,,
"610,000",2,150,194,3,2,0,0,1,0,0,,,,
"650,000",2,156,197,3,2,0,0,1,0,1,,,,
"655,600",2,156,198,3,2,0,1,1,0,0,,,,
"670,000",2,160,198,3,2,0,1,1,0,1,,,,
"672,200",2,160,200,3,2,1,1,2,0,1,,,,
"675,000",2,160,200,3,2,1,0,2,0,1,,,,
"690,000",2,160,201,3,2,0,0,2,0,1,,,,
"700,000",2,163,204,3,2,0,2,2,0,1,,,,
"800,000",2,168,210,3,2,1,1,2,1,1,,,,
"850,000",2,177,211,3,2.5,0,1,2,0,2,,,,
"850,000",2,178,211,3,2.5,1,0,2,1,0,,,,
"850,000",2,186,211,3,2.5,1,0,2,0,1,,,,
"895,000",2,190,213,3,2.5,1,0,2,0,1,,,,
"895,000",2,195,217,3,2.5,0,0,2,0,1,,,,
"950,000",2,197,218,3,2.5,0,1,2,0,1,,,,
"980,000",2,200,230,3,2.5,0,0,2,0,1,,,,
"980,000",2,200,237,3,2.5,0,1,2,0,1,,,,
"990,000",2,203,240,3,2.5,1,1,2,1,1,,,,
"1,100,000",3,218,262,3,2.5,3,2,2,1,1,,,,
"1,100,000",2,203,247,3,2.5,0,1,2,0,1,,,,
"1,100,000",3,203,250,3,2.5,0,2,2,0,1,,,,
"1,100,000",3,216,260,3,2.5,0,0,2,0,2,,,,
"1,100,000",3,218,262,3,2.5,3,2,2,1,1,,,,
"1,170,000",3,222,270,3,2.5,1,1,2,0,1,,,,
"1,182,000",3,223,270,3,2.5,0,1,2,0,1,,,,
"1,190,000",3,232,275,3,2.5,0,1,3,0,1,,,,
"1,200,000",3,237,280,3,2.5,1,2,3,1,2,,,,
"1,225,000",3,240,282,3,2.5,0,1,3,0,1,,,,
"1,230,000",4,240,288,3,2.5,0,1,3,0,0,,,,
"1,250,000",4,250,288,3,2.5,1,0,3,1,1,,,,
"1,300,000",4,255,290,3,2.5,1,1,3,1,1,,,,
"1,300,000",4,270,300,3,2.5,1,1,3,0,1,,,,
"1,300,000",4,250,288,3,2.5,1,1,3,1,1,,,,
"1,350,000",4,281,300,3,2.5,0,1,3,0,0,,,,
"1,370,000",4,285,300,3,2.5,0,1,3,0,0,,,,
"1,450,000",4,288,300,3,2.5,0,1,3,0,2,,,,
"1,500,000",4,300,300,3,2.5,1,1,3,1,2,,,,
"1,500,000",4,317,316,3,2.5,0,0,3,0,0,,,,
"1,500,000",4,316,308,3,2.5,0,1,3,0,2,,,,
"1,500,000",4,329,320,3,2.5,0,1,4,0,1,,,,
"1,550,000",4,333,320,4,3,1,2,4,1,2,,,,
"1,590,000",4,333,325,4,3,1,1,4,1,2,,,,
"1,650,000",4,345,330,4,3,0,1,4,0,1,,,,
"1,650,000",4,345,330,4,3,0,0,4,0,1,,,,
"1,700,000",4,346,330,4,3,0,1,4,0,1,,,,
"1,700,000",4,350,330,4,3,0,1,4,0,1,,,,
"1,700,000",4,350,340,4,3,1,1,4,1,1,,,,
"1,843,000",4,375,350,4,3,0,1,4,0,1,,,,
"1,950,000",4,390,350,4,3,0,1,4,1,1,,,,
"1,990,000",4,432,364,4,3,0,1,4,0,1,,,,
"2,000,000",4,473,400,4,3,0,1,4,0,1,,,,
"2,000,000",4,458,369,4,3,2,1,4,0,1,,,,
"2,000,000",4,470,380,4,3,0,0,4,1,0,,,,
"2,200,000",4,484,400,4,3.5,1,1,4,1,1,,,,
"2,200,000",4,487,402,4,3.5,1,1,4,0,2,,,,
"2,300,000",4,493,405,4,3.5,0,1,4,0,2,,,,
"2,300,000",4,500,410,4,3.5,0,1,4,0,1,,,,
"2,350,000",4,500,411,4,3.5,1,1,4,1,1,,,,
"2,360,000",4,518,413,4,3.5,0,4,4,0,0,,,,
"2,500,000",4,522,420,4,3.5,1,1,4,0,1,,,,
"2,700,000",5,547,434,4,3.5,0,2,4,0,1,,,,
"2,900,000",5,547,437,4,3.5,0,1,4,0,3,,,,
"3,200,000",5,615,437,4,3.5,0,1,5,0,1,,,,
"3,300,000",5,762,440,4,3.5,0,1,5,0,1,,,,
"3,500,000",5,780,450,4,3.5,0,1,5,0,1,,,,
"3,600,000",5,780,455,4,3.5,0,1,5,0,2,,,,
"3,700,000",5,814,464,5,4,0,2,5,0,1,,,,
"3,800,000",5,860,540,5,4,0,2,6,0,1,,,,
"3,800,000",5,816,520,5,4,1,1,5,1,1,,,,
"3,950,000",5,900,550,5,4,0,2,6,0,3,,,,
"4,000,000",5,1000,578,5,4,3,3,6,1,1,,,,
"4,500,000",5,1047,589,6,4.5,0,1,6,0,1,,,,
"4,500,000",5,1115,604,6,4.5,0,0,7,0,1,,,,
"4,700,000",5,1123,627,7,4.5,0,1,7,0,1,,,,
"5,000,000",5,1185,700,7,5,2,2,8,0,1,,,,
"7,510,000",5,4065,760,7,6,0,1,8,1,2,,,,
"7,950,000",5,4824,780,9,6,0,2,8,0,3,,,,
"9,500,000",5,5758,808,10,6,0,0,11,0,1,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
