Municipio Nombre,Count,Latitud,Longitud
ACAPULCO DE JUÁREZ,41,16.8680495,-99.8940182
ACOLMAN,188,19.6389474,-98.9109537
AGUASCALIENTES,49,22.0000001,-102.5000001
ALMOLOYA,35,19.7381962,-98.31577840284032
AMECAMECA,46,19.120025400000003,-98.70653181362624
ATENCO,69,19.54339605,-98.95686144441686
ATIZAPÁN DE ZARAGOZA,824,19.564017049999997,-99.27953557802653
AZCAPOTZALCO,3555,19.4837824,-99.1844166
BENITO JUÁREZ,1108,19.3717897,-99.1579191
CELAYA,36,20.521788,-100.8140458
CHALCO,1131,19.2382585,-98.81888376395177
CHIAUTLA,34,19.57166575,-98.88637579098273
CHICOLOAPAN,622,19.4162929,-98.9014367
CHIMALHUACÁN,2018,19.4339293,-98.9580149
COACALCO,549,19.6359452,-99.0948573
COCOTITLÁN,32,19.22765685,-98.85986662572438
COYOACÁN,2195,19.3500942,-99.1623319
COYOTEPEC,57,18.39581975,-97.8331099037162
CUAJIMALPA DE MORELOS,610,19.3635025,-99.2887688
CUAUTITLAN IZCALLI,698,19.6531356,-99.2145002
CUAUHTÉMOC,4380,19.4416128,-99.1518637
CUAUTLA,58,20.20360935,-104.48582666610042
CUERNAVACA,154,18.9218274,-99.2342282
ECATEPEC DE MORELOS,5342,19.5994083,-99.0487281
GUADALAJARA,108,20.6720375,-103.338396
GUSTAVO A. MADERO,9264,19.4838614,-99.1134723
HUEHUETOCA,131,19.82220755,-99.27091641832402
HUIXQUILUCAN,709,19.37093275,-99.35680743246913
IXTAPALUCA,1552,19.3170983,-98.9050144
IXTLAHUACA,33,19.6013674,-99.81332699561241
IZTACALCO,3201,19.3962535,-99.0965875
IZTAPALAPA,12453,19.3591195,-99.0929294
JALTENCO,31,19.75385145,-99.09300672597797
JIUTEPEC,36,18.88638935,-99.17012240115315
LA MAGDALENA CONTRERAS,459,19.3049539,-99.241301
LA PAZ,637,19.36376855,-98.94631359855612
LERMA,63,19.326363200000003,-99.46005201756853
LEÓN,76,21.1218598,-101.6825081
LOS REYES,277,18.671984799999997,-97.04142566973024
MAGDALENA CONTRERAS,601,19.3049539,-99.241301
MELCHOR OCAMPO,63,26.044443,-99.49383632649023
METEPEC,89,19.25113375,-99.5937281303492
MIGUEL HIDALGO,2824,19.4075059,-99.1917103
MILPA ALTA,877,19.1919839,-99.0228937
MINERAL DE LA REFORMA,62,20.06063885,-98.73057242363191
MONTERREY,36,25.6802019,-100.315258
MORELIA,118,19.7027116,-101.1923818
NAUCALPAN DE JUÁREZ,326,19.47436575,-99.29124490877653
NEXTLALPAN,65,19.7262794,-99.0788724267725
NEZAHUALCÓYOTL,4345,19.4079028,-99.0181547
NICOLÁS ROMERO,595,19.63422625,-99.3695564379207
OAXACA DE JUÁREZ,41,17.0604663,-96.7253575
OCOYOACAC,73,19.2587373,-99.41777785971426
PUEBLA,325,18.833333,-98.0
QUERÉTARO,202,20.5927744,-100.3902245
SAN JOSÉ,42,35.3972397,-105.4756569
TECÁMAC,1005,19.7115011,-98.968354
TEMASCALAPA,31,19.81630165,-98.87609516012185
TENANGO,36,16.9045533,-92.2631701
TEOLOYUCAN,93,19.75797385,-99.17303298734157
TEOTIHUACÁN,59,19.69335705,-98.88312638220704
TEPOTZOTLÁN,88,19.7187644,-99.30693310548483
TEXCOCO,436,19.47559065,-98.85539643391266
TEZOYUCA,43,19.5902244,-98.9079359
TIZAYUCA,133,19.85257935,-98.95927027557966
TLALMANALCO,61,19.206607499999997,-98.7323191358236
TLALNEPANTLA DE BAZ,1784,19.546490249999998,-99.18993520138947
TLALPAN,2162,19.2884203,-99.1670508
TLAQUEPAQUE,32,20.6397718,-103.3120428
TLÁHUAC,2876,19.2703721,-99.0049033
TOLUCA,331,19.292545,-99.6569007
TULANCINGO DE BRAVO,48,20.0839585,-98.3635381
TULTEPEC,233,19.678169599999997,-99.12794455054969
TULTITLÁN,920,19.616991249999998,-99.15927745045195
VALLE DE CHALCO,715,19.6540557,-98.9952157
VENUSTIANO CARRANZA,5653,19.4192316,-99.1133947
XALAPA,76,19.5408338,-96.9146374
XOCHIMILCO,2035,19.2634938,-99.1033663
ZAPOPAN,67,20.7211203,-103.3913671
ZINACANTEPEC,36,19.20277035,-99.81352348885127
ZUMPANGO,227,19.81293675,-99.08180953352705
ÁLVARO OBREGÓN,4186,19.3894713,-99.1957079
